hispanic_pop_1,trump_approval,pid,pid_TEXT,gender
25,5,1,,1
25,5,1,,1
75,5,1,,1
12,5,1,,2
40,4,1,,2
10,5,1,,2
25,3,1,,2
61,5,1,,2
56,5,3,,2
48,5,2,,2
64,5,1,,2
46,5,1,,2
31,5,1,,2
40,5,1,,2
80,5,3,,1
13,5,1,,1
75,5,1,,2
75,5,1,,2
63,5,1,,2
25,4,3,,2
40,5,1,2,
15,5,1,2,
15,5,2,2,
3,5,2,2,
41,5,2,2,
15,5,2,2,
15,5,1,2,
43,5,1,3,
5,5,2,2,
33,5,2,2,
1,5,1,2,
30,5,2,2,
25,2,1,1,
11,5,2,2,
10,5,2,3,
15,5,1,2,
20,5,2,2,
10,5,2,2,
21,5,1,2,
26,5,3,2,
70,5,2,2,
27,5,2,2,
15,5,1,2,
50,4,2,2,
35,5,2,2,
20,5,2,2,
25,5,2,3,
5,5,2,2,
10,5,2,2,
39,5,1,2,
12,5,1,2,
17,4,2,2,
33,5,2,2,
5,5,2,2,
50,5,1,2,
15,5,2,2,
25,5,1,2,
33,4,2,3,
20,5,1,2,
37,5,1,3,
15,4,1,2,
20,5,1,3,
17,5,2,2,
10,4,2,3,
15,5,2,2,
58,5,1,2,
10,5,1,3,
34,5,2,2,
20,5,1,2,
13,5,2,2,
2,5,1,2,
20,5,1,2,
25,5,2,2,
60,4,2,2,
40,5,1,3,
17,5,1,2,
17,5,1,2,
6,5,2,2,
5,5,1,3,
,5,2,2,
25,3,1,1,
46,4,1,1,
35,5,1,2,
30,4,4,Moderate,1
25,5,1,,2
35,5,4,Green,1
20,5,1,,2
50,4,1,,1
38,3,1,,1
20,5,3,,2
23,4,1,,2
5,5,3,,3
56,4,3,,2
10,3,3,,2
10,2,4,Libertarian,2
40,5,1,,1
29,4,3,,2
31,5,1,,2
45,5,1,,1
9,4,3,,2
30,4,2,,2
60,5,1,,2
42,5,1,,2
20,5,4,Independent,2
5,3,3,,1
71,5,4,Independent ,2
5,5,1,,2
7,5,4,Green,1
24,5,1,,2
27,5,1,,1
26,5,1,,2
25,5,1,,2
30,5,1,,1
34,5,1,,2
4,5,1,,1
17,5,1,,2
100,1,1,,2
26,3,2,,1
60,5,3,,2
15,5,1,,1
26,5,1,,2
50,5,1,,2
30,5,3,,1
5,4,1,,2
5,5,4,Independent,1
28,5,1,,1
10,5,4,Bernie Sanders for President ,2
11,5,1,,2
17,4,1,,2
15,2,4,Libertarian,1
4,5,1,,2
50,2,2,,2
6,5,1,,1
1,5,1,,2
55,5,1,,2
4,5,1,,1
5,5,1,,1
3,5,1,,1
40,5,1,,1
7,5,1,,1
1,5,1,,2
37,5,1,,2
24,5,1,,2
55,4,2,,2
